Date,Open,High,Low,Close,Adj Close,Volume
06-01-2017,168.690002,169.919998,167.520004,169.529999,138.156799,2945500
09-01-2017,169.470001,169.800003,167.619995,167.649994,136.624695,3189900
10-01-2017,167.979996,168.089996,165.339996,165.520004,134.888901,4118700
11-01-2017,166.050003,167.759995,165.600006,167.75,136.706192,3599500
12-01-2017,167.770004,168.009995,165.559998,167.949997,136.869217,2927500
13-01-2017,167.970001,168.479996,166.880005,167.339996,136.37204,2875400
17-01-2017,166.690002,168.179993,166.119995,167.889999,136.820313,3315700
18-01-2017,167.449997,168.589996,166.690002,166.800003,135.932007,4007800
19-01-2017,166.960007,167.449997,165.800003,166.809998,135.940155,6963400
20-01-2017,167.809998,170.639999,166,170.550003,138.988022,12690000
23-01-2017,170.080002,171.25,170.009995,171.029999,139.379181,5478200
24-01-2017,171.360001,176,171.160004,175.899994,143.347961,6952400
25-01-2017,176.259995,179.25,176.130005,178.289993,145.295639,5922500
26-01-2017,178.059998,178.880005,177.509995,178.660004,145.597214,3063900
27-01-2017,178.470001,179.199997,177.300003,177.300003,144.488892,3482300
30-01-2017,176.979996,177.070007,174.580002,175.800003,143.26651,4094800
31-01-2017,175.050003,175.580002,173.610001,174.520004,142.223343,4139000
01-02-2017,175,175.699997,172.889999,174.289993,142.035904,2795700
02-02-2017,174.229996,174.970001,173.550003,174.580002,142.272232,2620500
03-02-2017,175,176.339996,174.889999,175.820007,143.282745,3309300
06-02-2017,175.309998,175.979996,174.380005,175.860001,143.315353,2650800
07-02-2017,176,178.619995,175.899994,178.460007,145.434219,3873500
08-02-2017,177.5,177.5,175.880005,176.169998,144.703186,2913100
09-02-2017,176.169998,177.800003,175.910004,177.210007,145.557434,3090700
10-02-2017,177.369995,178.869995,176.759995,178.679993,146.764847,2930700
13-02-2017,179.240005,179.899994,178.839996,179.360001,147.323395,3093400
14-02-2017,178.570007,180.130005,178.350006,180.130005,147.955887,2776500
15-02-2017,180.199997,181.919998,179.809998,181.679993,149.229004,2914300
16-02-2017,181.449997,182.789993,180.869995,181.429993,149.023666,3251500
17-02-2017,181.25,181.570007,180,180.669998,148.399399,3552500
21-02-2017,180.600006,180.789993,179.119995,180.259995,148.062653,4480300
22-02-2017,180.089996,181.339996,180.089996,181.149994,148.793671,3020500
23-02-2017,182,182.5,180.919998,181.649994,149.204376,2282500
24-02-2017,180.210007,181.490005,179.889999,181.350006,148.957962,3300100
27-02-2017,181.190002,181.25,179.279999,179.399994,147.356232,3691300
28-02-2017,179.380005,180.630005,179.350006,179.820007,147.701248,3273400
01-03-2017,180.479996,182.550003,180.029999,181.949997,149.450806,3005600
02-03-2017,181.880005,181.880005,180.429993,180.529999,148.284424,2918200
03-03-2017,180.529999,181.320007,179.759995,180.050003,147.890152,1822000
06-03-2017,179.720001,180.990005,179.570007,180.470001,148.235153,3204400
07-03-2017,180.710007,181.289993,180.199997,180.380005,148.161224,2980500
08-03-2017,180.75,180.949997,179.300003,179.449997,147.397324,3557400
09-03-2017,179.149994,179.25,175.880005,177.179993,145.532776,5444100
10-03-2017,178.210007,179.490005,177.419998,177.830002,146.066681,3100300
13-03-2017,177.850006,178.059998,176.419998,176.460007,144.941391,3482200
14-03-2017,176.179993,176.820007,175.210007,175.720001,144.333588,3147500
15-03-2017,175.710007,176.279999,174.75,175.809998,144.407501,3815500
16-03-2017,178.460007,179,176.820007,177.240005,145.582062,4311800
17-03-2017,176.289993,176.789993,175.649994,175.649994,144.276077,5921000
20-03-2017,175.649994,176.179993,175.139999,175.699997,144.317139,2476100
21-03-2017,176.009995,176.229996,173.839996,173.880005,142.822235,3927700
22-03-2017,174.039993,175.059998,172.800003,174.779999,143.561462,3450500
23-03-2017,174.429993,175.669998,173.559998,174.820007,143.594299,3740000
24-03-2017,175.119995,175.5,173.389999,173.830002,142.781128,3221700
27-03-2017,172.690002,174.160004,172.089996,173.770004,142.731873,3259000
28-03-2017,173.940002,175,173,174.509995,143.339676,3523900
29-03-2017,174.300003,174.490005,173.460007,173.940002,142.871521,3085600
30-03-2017,173.860001,174.589996,173.690002,173.860001,142.805786,3168300
31-03-2017,173.979996,174.949997,173.690002,174.139999,143.035767,2913700
03-04-2017,173.820007,174.869995,173.380005,174.5,143.331467,4286500
04-04-2017,173.520004,174.960007,173.259995,174.520004,143.3479,3108900
05-04-2017,174.699997,176.330002,172.809998,172.880005,142.000854,6238900
06-04-2017,173.470001,173.470001,172.25,172.449997,141.647614,3435400
07-04-2017,172.080002,172.929993,171.279999,172.139999,141.393021,3588300
10-04-2017,172.529999,172.559998,171,171.199997,140.62088,3789900
11-04-2017,170.649994,171.229996,168.979996,170.580002,140.111649,4891900
12-04-2017,171.039993,171.199997,170.020004,170.660004,140.177368,3276900
13-04-2017,169.919998,171.360001,169.529999,169.529999,139.249191,3205500
17-04-2017,169.75,171.300003,169.619995,171.100006,140.538803,3720200
18-04-2017,170.789993,171.690002,169.830002,170.050003,139.676331,6345500
19-04-2017,161.759995,162.639999,159.600006,161.690002,132.809525,19284300
20-04-2017,161.320007,162.399994,160.5,162.300003,133.310562,6486800
21-04-2017,162.050003,162.110001,160.380005,160.380005,131.733536,5607800
24-04-2017,161.289993,161.570007,160.419998,160.75,132.037445,5320600
25-04-2017,161.779999,162.039993,160.380005,160.389999,131.741776,4860400
26-04-2017,160.529999,161.100006,159.889999,160.059998,131.470688,4327800
27-04-2017,160.289993,160.479996,159.630005,160.320007,131.684235,4122600
28-04-2017,160.5,160.589996,159.699997,160.289993,131.659592,4154100
01-05-2017,160.050003,160.419998,158.699997,158.839996,130.468597,4935300
02-05-2017,159.440002,159.490005,158.639999,159.100006,130.682175,3208200
03-05-2017,158.740005,159.449997,158.520004,158.630005,130.296097,3993300
04-05-2017,158.889999,159.139999,158.360001,159.050003,130.641113,4280600
05-05-2017,153.520004,155.779999,153,155.050003,127.355553,12521300
08-05-2017,152.800003,153.470001,152.199997,153.029999,126.924248,7492000
09-05-2017,152.600006,153.100006,151.559998,152.110001,126.161209,6853000
10-05-2017,151.649994,152.369995,151.130005,151.25,125.447929,4999900
11-05-2017,151.050003,151.149994,149.789993,150.649994,124.950287,5627900
12-05-2017,150.300003,151.259995,150,150.369995,124.718018,3715300
